ticket_id,category,ticket_text,sentiment_score,sentiment_label,escalated,resolution_hours
TICKET00000,General Inquiry,Do you offer student discounts on annual plans?,0.0,Neutral,0,2.6
TICKET00001,Shipping/Delivery,Can you tell me when my order will actually ship?,0.0,Neutral,0,8.2
TICKET00002,General Inquiry,Do you offer student discounts on annual plans?,0.0,Neutral,0,11.3
TICKET00003,Billing,"My invoice shows an incorrect amount, can someone check this?",0.0,Neutral,0,1.2
TICKET00004,Account Access,I can't access my account from my new phone.,0.0,Neutral,0,0.2
TICKET00005,Billing,This is the third time I've been overcharged. Extremely frustrating.,-0.4927,Negative,0,20.2
TICKET00006,Billing,This is the third time I've been overcharged. Extremely frustrating.,-0.4927,Negative,0,4.1
TICKET00007,Billing,I need a receipt for last month's payment for my records.,0.0,Neutral,0,7.6
TICKET00008,Account Access,"Someone please unlock my account, I've been trying for an hour.",0.3182,Positive,1,7.9
TICKET00009,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great.",0.8402,Positive,1,20.9
TICKET00010,Billing,"I was charged twice for my subscription this month, please refund the extra charge.",0.128,Neutral,0,2.7
TICKET00011,Billing,I need a receipt for last month's payment for my records.,0.0,Neutral,0,11.9
TICKET00012,Billing,Why is my bill higher than usual? I did not change my plan.,0.0,Neutral,1,2.8
TICKET00013,Billing,"My invoice shows an incorrect amount, can someone check this?",0.0,Neutral,1,2.2
TICKET00014,General Inquiry,Do you offer student discounts on annual plans?,0.0,Neutral,0,3.8
TICKET00015,Shipping/Delivery,Can you tell me when my order will actually ship?,0.0,Neutral,0,3.9
TICKET00016,Billing,I need a receipt for last month's payment for my records.,0.0,Neutral,0,2.3
TICKET00017,Billing,"My invoice shows an incorrect amount, can someone check this?",0.0,Neutral,0,5.9
TICKET00018,Billing,"I was charged twice for my subscription this month, please refund the extra charge.",0.128,Neutral,0,9.5
TICKET00019,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great.",0.8402,Positive,0,2.5
TICKET00020,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through.",0.6808,Positive,0,13.5
TICKET00021,Technical Issue,"Login page won't load, tried on two browsers already.",0.0,Neutral,0,7.0
TICKET00022,Billing,This is the third time I've been overcharged. Extremely frustrating.,-0.4927,Negative,0,5.9
TICKET00023,Billing,This is the third time I've been overcharged. Extremely frustrating.,-0.4927,Negative,0,19.0
TICKET00024,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging.",-0.7425,Negative,0,12.9
TICKET00025,Shipping/Delivery,Can you tell me when my order will actually ship?,0.0,Neutral,0,3.3
TICKET00026,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging.",-0.7425,Negative,1,27.2
TICKET00027,Shipping/Delivery,Can you tell me when my order will actually ship?,0.0,Neutral,0,5.6
TICKET00028,General Inquiry,What are your customer support hours on weekends?,0.4019,Positive,0,9.9
TICKET00029,Technical Issue,"Login page won't load, tried on two browsers already.",0.0,Neutral,0,5.0
TICKET00030,Technical Issue,"I can't upload files anymore, getting an error message constantly.",-0.4019,Negative,0,12.2
TICKET00031,Technical Issue,The website has been down for me since this morning.,0.0,Neutral,0,5.9
TICKET00032,Shipping/Delivery,Tracking says delivered but I never received anything.,0.0,Neutral,0,4.0
TICKET00033,Account Access,"Someone please unlock my account, I've been trying for an hour.",0.3182,Positive,0,7.1
TICKET00034,Shipping/Delivery,Tracking says delivered but I never received anything.,0.0,Neutral,0,4.3
TICKET00035,Billing,This is the third time I've been overcharged. Extremely frustrating.,-0.4927,Negative,1,19.8
TICKET00036,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging.",-0.7425,Negative,1,17.7
TICKET00037,Technical Issue,"Nothing is working today, this is the worst experience I've had.",-0.6249,Negative,0,37.9
TICKET00038,Shipping/Delivery,"This delay is unacceptable, I needed this for an event.",-0.6486,Negative,0,12.3
TICKET00039,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great.",0.8402,Positive,0,0.5
TICKET00040,Shipping/Delivery,Can you tell me when my order will actually ship?,0.0,Neutral,0,3.5
TICKET00041,Billing,This is the third time I've been overcharged. Extremely frustrating.,-0.4927,Negative,0,4.3
TICKET00042,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.,-0.296,Neutral,0,5.2
TICKET00043,Account Access,I can't access my account from my new phone.,0.0,Neutral,0,1.4
TICKET00044,Shipping/Delivery,Tracking says delivered but I never received anything.,0.0,Neutral,0,9.6
TICKET00045,Shipping/Delivery,"This delay is unacceptable, I needed this for an event.",-0.6486,Negative,0,22.5
TICKET00046,General Inquiry,Just wanted to ask about your return policy before I buy.,0.0,Neutral,0,1.4
TICKET00047,General Inquiry,What are your customer support hours on weekends?,0.4019,Positive,1,10.8
TICKET00048,Technical Issue,The website has been down for me since this morning.,0.0,Neutral,0,1.9
TICKET00049,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great.",0.8402,Positive,0,1.1
TICKET00050,Technical Issue,"I can't upload files anymore, getting an error message constantly.",-0.4019,Negative,0,4.5
TICKET00051,Account Access,I forgot my password and the reset link isn't arriving in my email.,0.0,Neutral,0,11.8
TICKET00052,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through.",0.6808,Positive,0,4.7
TICKET00053,General Inquiry,Just wanted to ask about your return policy before I buy.,0.0,Neutral,0,2.7
TICKET00054,Account Access,"Someone please unlock my account, I've been trying for an hour.",0.3182,Positive,0,1.6
TICKET00055,Account Access,"Two-factor authentication code never arrives, I'm stuck.",0.1877,Neutral,0,2.4
TICKET00056,Technical Issue,The website has been down for me since this morning.,0.0,Neutral,0,8.3
TICKET00057,Technical Issue,"I can't upload files anymore, getting an error message constantly.",-0.4019,Negative,1,41.8
TICKET00058,General Inquiry,Do you offer student discounts on annual plans?,0.0,Neutral,0,7.2
TICKET00059,Billing,This is the third time I've been overcharged. Extremely frustrating.,-0.4927,Negative,1,14.9
TICKET00060,Technical Issue,"Nothing is working today, this is the worst experience I've had.",-0.6249,Negative,1,2.4
TICKET00061,Shipping/Delivery,"This delay is unacceptable, I needed this for an event.",-0.6486,Negative,1,42.7
TICKET00062,Technical Issue,"Login page won't load, tried on two browsers already.",0.0,Neutral,0,2.6
TICKET00063,Billing,"My invoice shows an incorrect amount, can someone check this?",0.0,Neutral,0,3.6
TICKET00064,Shipping/Delivery,"This delay is unacceptable, I needed this for an event.",-0.6486,Negative,1,26.2
TICKET00065,Billing,I need a receipt for last month's payment for my records.,0.0,Neutral,0,0.9
TICKET00066,Technical Issue,"Nothing is working today, this is the worst experience I've had.",-0.6249,Negative,1,42.4
TICKET00067,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great.",0.8402,Positive,0,8.0
TICKET00068,Account Access,"My account got locked after too many login attempts, please help.",0.6124,Positive,0,10.9
TICKET00069,Shipping/Delivery,Can you tell me when my order will actually ship?,0.0,Neutral,1,17.8
