ticket_id,category,ticket_text
TICKET00000,General Inquiry,Do you offer student discounts on annual plans?
TICKET00001,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00002,General Inquiry,Do you offer student discounts on annual plans?
TICKET00003,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00004,Account Access,I can't access my account from my new phone.
TICKET00005,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00006,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00007,Billing,I need a receipt for last month's payment for my records.
TICKET00008,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00009,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00010,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00011,Billing,I need a receipt for last month's payment for my records.
TICKET00012,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00013,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00014,General Inquiry,Do you offer student discounts on annual plans?
TICKET00015,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00016,Billing,I need a receipt for last month's payment for my records.
TICKET00017,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00018,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00019,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00020,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00021,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00022,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00023,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00024,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00025,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00026,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00027,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00028,General Inquiry,What are your customer support hours on weekends?
TICKET00029,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00030,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00031,Technical Issue,The website has been down for me since this morning.
TICKET00032,Shipping/Delivery,Tracking says delivered but I never received anything.
